Moby Dick contains   218454 words.14440	the
   17	heavens
   17	heave
   17	grave
   17	glory
   17	gaze
   17	fro
   17	friends
   17	foolish
   17	flame
   17	fatal
   17	fail
   17	dragged
   17	dough
   17	dinner
   17	difference
   17	devils
   17	crews
   17	cool
   17	continually
   17	compass
   17	child
   17	captured
   17	box
   17	bore
   17	books
   17	bold
   17	bird
   17	bench
   17	bad
   17	animal
   16	window
   16	weary
   16	watching
   16	uncommon
   16	unaccountable
   16	twelve
   16	tow
   16	thousands
   16	summer
   16	stroke
   16	stricken
   16	straits
   16	spray
   16	spouts
   16	slid
   16	sit
   16	showed
   16	shake
   16	seven
   16	sent
   16	scientific
   16	rock
   16	respect
   16	re
   16	rare
   16	putting
   16	pulpit
   16	proved
   16	prophet
   16	pleasant
   16	piece
   16	pictures
   16	oceans
   16	numerous
   16	neither
   16	muttered
   16	monkey
   16	missing
   16	mariner
   16	lungs
   16	locked
   16	knowing
   16	keen
   16	invisible
   16	immense
   16	horizontal
   16	heat
   16	hark
   16	harbor
   16	happened
   16	ginger
   16	gallant
   16	furnished
   16	fully
   16	fool
   16	folio
   16	flames
   16	fit
   16	fill
   16	feels
   16	fate
   16	fairly
   16	encountered
   16	encounter
   16	earthly
   16	double
   16	distinct
   16	cries
   16	corner
   16	commander
   16	colour
   16	clock
   16	clean
   16	civilized
   16	carries
   16	breaking
   16	bread
   16	binnacle
   16	behold
   16	barrels
   16	amid
   16	affair
   16	actually
   15	yield
   15	wrinkles
   15	wrinkled
   15	working
   15	whenever
   15	violent
   15	vapour
   15	utmost
   15	troubled
   15	tried
   15	torn
   15	supposed
   15	superior
   15	streets
   15	steak
   15	special
   15	space
   15	sleet
   15	silently
   15	signs
   15	shock
   15	shadows
   15	shadow
   15	seek
   15	secured
   15	season
   15	save
   15	sank
   15	rushed
   15	roman
   15	rod
   15	pushed
   15	pumps
   15	proceed
   15	probably
   15	position
   15	perilous
   15	paused
   15	palms
   15	pains
   15	ourselves
   15	opening
   15	oarsman
   15	north
   15	nearer
   15	moving
   15	mention
   15	measure
   15	marvellous
   15	marks
   15	marble
   15	letter
   15	latter
   15	latitudes
   15	lads
   15	job
   15	inn
   15	immortal
   15	ii
   15	horrible
   15	helped
   15	heaving
   15	hail
   15	grass
   15	german
   15	future
   15	frequently
   15	frantic
   15	flood
   15	firm
   15	fins
   15	faith
   15	faces
   15	exceedingly
   15	events
   15	endless
   15	employed
   15	elijah
   15	effect
   15	dry
   15	drag
   15	doom
   15	doing
   15	disappeared
   15	direction
   15	dare
   15	cunning
   15	crossed
   15	coward
   15	carrying
   15	canal
   15	bull
   15	bucket
   15	broke
   15	boiling
   15	blind
   15	blast
   15	armed
   15	apart
   15	ages
   15	afraid
   14	yea
   14	worth
   14	wish
   14	unseen
   14	tun
   14	tub
   14	trees
   14	towing
   14	tormented
   14	token
   14	throw
   14	terrific
   14	square
   14	spoke
   14	split
   14	sounding
   14	simultaneously
   14	sense
   14	send
   14	seizing
   14	rolls
   14	returned
   14	reference
   14	reach
   14	prey
   14	points
   14	planted
   14	piled
   14	phantom
   14	perceived
   14	partly
   14	opinion
   14	officer
   14	occasionally
   14	naught
   14	moved
   14	mounted
   14	minds
   14	meant
   14	luck
   14	london
   14	lively
   14	leaping
   14	leak
   14	jack
   14	intent
   14	hue
   14	honest
   14	hither
   14	hit
   14	handle
   14	grew
   14	gliding
   14	glided
   14	glancing
   14	gained
   14	forming
   14	food
   14	foe
   14	fly
   14	fingers
   14	fat
   14	exclaimed
   14	erect
   14	equal
   14	entered
   14	departed
   14	deemed
   14	declared
   14	darting
   14	customary
   14	crow
   14	critical
   14	crazy
   14	corpse
   14	continued
   14	continual
   14	considered
   14	closely
   14	city
   14	church
   14	chased
   14	character
   14	carved
   14	care
   14	capture
   14	canvas
   14	buried
   14	breakfast
   14	boots
   14	beware
   14	awe
   14	asked
   14	arrived
   14	anywhere
   13	wreck
